title,publish_date,media_name,url,cluster,title_total_frequency,title_date_frequency,publish_year,publish_month,publish_day,days_since_min,label,cluster_name,topics
"""Hands Off!"" demonstrations protest Trump, Musk across U.S.",4/5/25,cbsnews.com,https://www.cbsnews.com/texas/news/trump-musk-hands-off-demonstrators-protest/,28,6,6,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests,activism
"""Hands Off!"" protest in Boston draws nearly 100,000 people rallying against Trump, Musk",4/6/25,cbsnews.com,https://www.cbsnews.com/boston/news/hands-off-protest-boston-massachusetts/,28,1,1,2025,4,6,1922,Hands Off! Protests,Hands Off! Protests,activism
"""Hands Off!"": Americans across country protest Trump, Musk",4/5/25,cbsnews.com,https://www.cbsnews.com/pictures/hands-off-americans-across-country-protest-trump-musk-doge-photos/,28,1,1,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests,activism
"""Heinous loser"": Pedro Pascal bashes JK Rowling over anti-trans bigotry",4/24/25,salon.com,https://www.salon.com/2025/04/24/heinous-loser-pedro-pascal-bashes-jk-rowling-over-anti-trans-bigotry/,63,1,1,2025,4,24,1940,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
"As promised, Biden overturns Trump's ban on transgender military service",1/25/21,mic.com,https://www.mic.com/p/as-promised-biden-overturns-trumps-ban-on-transgender-military-service-58798388,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
"""Jeopardy!"" champion Amy Schneider responds to transphobic comments",1/3/22,cbsnews.com,https://www.cbsnews.com/news/jeopardy-amy-schneider-transgender-comments/,85,1,1,2022,1,3,733,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
"""Jokes are funny!"": Protesters crash walkout by Netflix workers over Chappelle special",10/20/21,hotair.com,https://hotair.com/allahpundit/2021/10/20/jokes-are-funny-protesters-crash-walkout-by-netflix-workers-over-chappelle-special-n423760,52,1,1,2021,10,20,658,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
"""Juno"" and ""Umbrella Academy"" actor Elliot Page comes out as transgender in heartfelt letter",12/1/20,salon.com,https://www.salon.com/2020/12/01/juno-and-umbrella-academy-actor-elliot-page-comes-out-as-transgender-in-heartfelt-letter_partner/,84,3,3,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out,"popCulture, identity"
"""Juno"" star Elliot Page announces he is transgender",12/1/20,cbsnews.com,https://www.cbsnews.com/news/juno-star-elliot-page-announces-he-is-transgender/,84,3,3,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out,"popCulture, identity"
"""Mandalorian"" actress Gina Carano sues Disney over firing",2/6/24,cbsnews.com,https://www.cbsnews.com/news/mandalorian-actress-gina-carano-sues-disney-over-firing-elon-musk/,18,1,1,2024,2,6,1497,Gina Carano Firing,Gina Carano Firing,"popCulture, bigotry, freeSpeech"
"""Mental derangement"": Candace Owens slams Chrissy Teigen over teen bullying allegation",5/11/21,newsweek.com,https://www.newsweek.com/mental-derangement-candace-owens-slams-chrissy-teigen-over-teen-bullying-allegation-1590671,11,1,1,2021,5,11,496,Teigen Bullying Scandal,Teigen Bullying Scandal,popCulture
"""Nobody's perfect"": Demi Lovato says she is again using she/her pronouns",8/2/22,newsweek.com,https://www.newsweek.com/nobodys-perfect-demi-lovato-changes-pronouns-again-1730252,45,1,1,2022,8,2,944,Demi Lovatos Pronouns,Demi Lovatos Pronouns,"popCulture, identity"
"""Powerful and inspiring"": Elliot Page receives support and gratitude on social media after announcing he's trans",12/2/20,cbsnews.com,https://www.cbsnews.com/news/elliot-page-transgender-social-media-support/,84,3,3,2020,12,2,336,Elliot Page Comes Out,Elliot Page Comes Out,"popCulture, identity"
"""Selling Sunset"" star Chrishell Stause and singer G Flip are married",5/11/23,cbsnews.com,https://www.cbsnews.com/news/chrishell-stause-g-flip-are-married-selling-sunset-instagram-post-wedding/,10,1,1,2023,5,11,1226,Chrishell Stause & G,Chrishell Stause & G,popCulture
"Biden Could Quickly Reverse Trump’s Military Transgender Ban, Group Says",7/22/20,nytimes.com,https://www.nytimes.com/2020/07/22/us/politics/military-transgender-trump-biden.html,112,2,2,2020,7,22,203,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
"""Transgender women are women"": Daniel Radcliffe responds to J.K Rowling's controversial comments",6/8/20,cbsnews.com,https://www.cbsnews.com/news/jk-rowling-twitter-controversy-daniel-radcliffe-responds-to-authors-anti-trans-comments-2020-06-08/,63,8,4,2020,6,8,159,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
"""Transgender women are women"": Daniel Radcliffe responds to J.K Rowling's controversial comments",6/9/20,cbsnews.com,http://feeds.cbsnews.com/~r/CBSNewsMain/~3/yQwkiyRjam8/,63,8,4,2020,6,9,160,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
Biden Ends Ban On Transgender Military,1/25/21,forbes.com,https://www.forbes.com/sites/dawnstaceyennis/2021/01/25/biden-ends-ban-on-transgender-military/,112,4,4,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
"""You will not summon me"": Dave Chappelle responds to trans community after Netflix backlash",10/25/21,newsweek.com,https://www.newsweek.com/you-will-not-summon-me-dave-chappelle-responds-trans-community-after-netflix-backlash-1642469,52,2,2,2021,10,25,663,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
"""You're engaging in Holocaust denial"": Critics slam J.K. Rowling's latest anti-trans stance",3/15/24,salon.com,https://www.salon.com/2024/03/15/jk-rowling-trans-nazis-holocaust-denial/,63,3,3,2024,3,15,1535,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
Biden Ends Partial Ban on Transgender Soldiers in U.S. Military,1/25/21,nationalreview.com,https://www.nationalreview.com/news/biden-to-end-partial-ban-on-transgender-soldiers-in-u-s-military/,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
"#NetflixWalkout: Lilly Wachowski, Billy Eichner, Elliot Page and More Stars Support Trans Employees' Protest",10/20/21,thewrap.com,https://www.thewrap.com/netflix-walkout-trans-employees-celebrity-support-lilly-wachowski-billy-eichner-elliot-page-tweets/,52,2,2,2021,10,20,658,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
&lsquo;Morning After&rsquo; Antibiotic Could Reduce STIs,10/6/23,scientificamerican.com,https://www.scientificamerican.com/article/morning-after-antibiotic-could-reduce-stis/,21,1,1,2023,10,6,1374,Morning-After STI Pill,Morning-After STI Pill,healthcare
Biden Ends Transgender Troop Ban in Boost for Military Equality,1/25/21,newsmax.com,https://www.newsmax.com/politics/transgender-military-reverse-ban/2021/01/25/id/1007094,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
